feature,importance_MEAN,importance_STD,importance_RAT
APPROVED_NEW_CREDIT_TO_ANNUITY_RATIO_VAR,100.0,27.721832551258224,0.27721832551258224
NEW_BURO_DAYS_CREDIT_MAX_DAYS_LAST_PHONE_CHANGE_DIFF,99.8,10.709808588392232,0.10731271130653539
PREV_NEW_CREDIT_SELLERPLACE_RATE_MAX,99.6,9.316651759081692,0.09354068031206518
ACTIVE_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_VAR,99.2,17.19592975096142,0.17334606603791752
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_SUM_MAX,98.0,5.147815070493499,0.05252872520911733
PREV_LATEST_CC_PREV_NEW_AMT_BALANCE_CREDIT_LIMIT_ACTUAL_DIFF_MAX_SUM,97.0,21.85177338341216,0.22527601426198102
PREV_INSTAL_PREV_AMT_PAYMENT_MIN_MIN,96.0,25.999999999999996,0.2708333333333333
NEW_BURO_DAYS_CREDIT_MIN_DAYS_DAYS_REGISTRATION_DIFF,95.8,26.574423794317724,0.27739482039997626
ACTIVE_DAYS_CREDIT_UPDATE_VAR,95.4,27.116415692344003,0.28423915820067086
ACTIVE_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_DIFF_MIN,95.2,12.794530081249563,0.13439632438287355
CLOSED_DAYS_ENDDATE_FACT_MAX,95.0,20.591260281974,0.21675010823130528
PREV_DAYS_DECISION_MAX,94.6,26.4253666010521,0.2793379133303605
NEW_BURO_DAYS_CREDIT_MAX_DAYS_ID_PUBLISH_DIFF,93.8,17.69745744450315,0.18867225420579053
PREV_INSTAL_PREV_AMT_INSTALMENT_SUM_MIN,93.8,20.921281031523858,0.22304137560259976
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,92.6,25.025986494042545,0.27025903341298646
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MEAN_MAX,92.4,11.260550608207398,0.12186743082475537
PREV_LATEST_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MAX_SUM,92.2,12.397580409095962,0.13446399576025989
ACTIVE_AMT_CREDIT_SUM_DEBT_VAR,92.0,11.510864433221338,0.12511809166544932
NEW_NUM_DOCS,91.0,13.583077707206124,0.14926459018907828
APPROVED_RATE_DOWN_PAYMENT_VAR,90.4,25.86116780039138,0.2860748650485772
BURO_AMT_CREDIT_SUM_MEAN,90.2,17.28293956478469,0.19160686878918726
BURO_NEW_BURO_DAYS_CREDIT_DAYS_CREDIT_ENDDATE_DIFF_MAX,89.4,12.700393694685216,0.14206256929178093
PREV_NEW_CREDIT_SELLERPLACE_RATE_PROD,88.8,25.91717577206282,0.29186008752322995
BURO_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_DIFF_MEAN,88.2,18.673510650116114,0.21171780782444574
APPROVED_SELLERPLACE_AREA_MEAN,88.0,22.079402165819616,0.25090229733885927
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,87.8,27.270863572685045,0.31060209080506884
PREV_NAME_YIELD_GROUP_high_MEAN,87.6,20.14447815159281,0.2299597962510595
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_SUM_MEAN,87.2,16.60421633200435,0.19041532490830673
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MAX_SUM,87.0,25.96150997149434,0.29840816059188896
AMT_INCOME_TOTAL,86.8,20.12958022413781,0.2319076062688688
PREV_RATE_DOWN_PAYMENT_MEAN,86.4,12.218837915284743,0.14142173513061043
APPROVED_AMT_CREDIT_MIN,85.8,22.939049675171812,0.2673548913190188
CLOSED_AMT_CREDIT_SUM_SUM,84.6,15.43696861433617,0.1824700781836427
PREV_NEW_CREDIT_TO_GOODS_RATIO_PROD,84.4,15.915401345866211,0.18857110599367546
NEW_DEF/OBS_30,84.4,6.107372593840989,0.07236223452418232
PREV_LATEST_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_SUM_MEAN,84.2,16.208022704821214,0.1924943314111783
TOTALAREA_MODE,83.2,26.023066690918657,0.31277724388123385
BURO_AMT_CREDIT_SUM_VAR,82.8,12.437845472588892,0.1502155250312668
BURO_AMT_CREDIT_MAX_OVERDUE_MAX,82.8,12.676750372236567,0.15310084990623873
NEW_AMT_CREDIT_POPRAT,82.8,11.38859078200635,0.13754336693244384
PREV_INSTAL_PREV_AMT_INSTALMENT_MIN_MIN,82.4,12.660963628413123,0.15365247121860584
PREV_PRODUCT_COMBINATION_Cash X-Sell: low_MEAN,82.4,5.366563145999496,0.06512819351941136
CLOSED_DAYS_CREDIT_UPDATE_<LAMBDA>,82.2,20.0922870773837,0.24443171626987467
NEW_BURO_DAYS_CREDIT_MAX_DAYS_EMPLOYED_DIFF,82.0,21.517434791350013,0.262407741357927
PREV_AMT_ANNUITY_MEAN,81.4,24.01666088364492,0.29504497400055185
LATEST_CC_NEW_AMT_BALANCE_CREDIT_LIMIT_ACTUAL_DIFF_MAX,81.4,3.6469165057620936,0.044802414075701395
PREV_POS_PREV_CNT_INSTALMENT_FUTURE_MEAN_MEAN,81.2,14.342245291445828,0.17662863659416042
PREV_NEW_POS_PREV_INSTALMENT_SPEED_VAR,81.2,28.665310045419012,0.3530210596726479
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MEAN_VAR,81.0,25.485289874749316,0.3146332083302385
NEW_BURO_DAYS_CREDIT_MIN_DAYS_EMPLOYED_DIFF,80.8,10.568822072492281,0.13080225337242923
PREV_DAYS_DECISION_<LAMBDA>,80.8,20.054924582256596,0.24820451215664105
REGION_RATING_CLIENT_W_CITY,80.6,6.228964600958975,0.0772824392178533
BURO_CREDIT_TYPE_Consumer credit_MEAN,80.0,6.557438524302002,0.08196798155377502
BURO_AMT_CREDIT_SUM_SUM,79.8,10.73312629199899,0.13450032947367158
BURO_DAYS_CREDIT_MEAN,79.6,20.767763480933617,0.2609015512680103
ACTIVE_DAYS_CREDIT_SIZE,79.4,11.436782764396638,0.14404008519391232
POS_MONTHS_BALANCE_SUM,79.2,15.08973160795115,0.19052691424180743
