feature,importance
EXT_SOURCE_1,1318.8
EXT_SOURCE_2,1298.8
EXT_SOURCE_3,1127.4
NEW_CREDIT_TO_ANNUITY_RATIO,921.2
DAYS_BIRTH,824.6
NEW_CREDIT_TO_GOODS_RATIO,766.4
AMT_ANNUITY,724.8
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MAX_MEAN,534.2
DAYS_EMPLOYED,502.8
DAYS_ID_PUBLISH,468.0
PREV_DAYS_TERMINATION_MAX,422.2
REGION_POPULATION_RELATIVE,371.4
PREV_NEW_POS_PREV_INSTALMENT_SPEED_MEAN,370.0
BURO_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MAX,360.0
ACTIVE_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MAX,355.0
DAYS_REGISTRATION,349.4
PREV_NEW_POS_PREV_INSTALMENT_SPEED_MIN,343.0
AMT_GOODS_PRICE,341.4
ACTIVE_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MEAN,331.6
OWN_CAR_AGE,318.6
DAYS_LAST_PHONE_CHANGE,317.4
PREV_NEW_CREDIT_TO_GOODS_RATIO_MEAN,316.6
CODE_GENDER_M,311.8
AMT_CREDIT,311.4
PREV_INSTAL_PREV_DAYS_ENTRY_PAYMENT_MAX_MAX,304.4
PREV_CNT_PAYMENT_MEAN,298.6
ACTIVE_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_ENDDATE_DIFF_MAX,295.0
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,292.2
NEW_AGE_DAYS_REGISTRATION,286.6
CLOSED_DAYS_CREDIT_UPDATE_MAX,282.6
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MEAN_MEAN,264.6
BURO_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MEAN,262.0
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MIN_MIN,260.6
PREV_NEW_DAYS_LAST_DUE_DIFF_MEAN,257.4
PREV_INSTAL_PREV_AMT_PAYMENT_MEAN_MAX,255.8
PREV_POS_PREV_MONTHS_BALANCE_SIZE_MEAN,243.6
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MAX_MAX,237.6
PREV_NEW_CREDIT_TO_GOODS_RATIO_MAX,232.2
ACTIVE_AMT_CREDIT_SUM_SUM,225.8
AMT_INCOME_TOTAL,223.8
PREV_POS_PREV_MONTHS_BALANCE_SIZE_MAX,223.4
POS_MONTHS_BALANCE_MEAN,220.8
CLOSED_DAYS_CREDIT_MAX,219.0
ACTIVE_AMT_CREDIT_SUM_MIN,218.4
ACTIVE_DAYS_CREDIT_MAX,217.8
ACTIVE_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MIN,215.8
PREV_DAYS_DECISION_MEAN,215.6
POS_NAME_CONTRACT_STATUS_Active_MEAN,214.4
BURO_AMT_CREDIT_SUM_MIN,214.4
APPROVED_AMT_ANNUITY_MEAN,213.2
BURO_AMT_CREDIT_MAX_OVERDUE_MAX,211.0
PREV_INSTAL_PREV_DAYS_INSTALMENT_MAX_MAX,210.4
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,208.8
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MIN_MAX,207.4
PREV_HOUR_APPR_PROCESS_START_MEAN,206.6
PREV_NAME_YIELD_GROUP_high_MEAN,205.0
PREV_DAYS_DECISION_MAX,197.2
NEW_INC_PER_CHLD,194.8
PREV_INSTAL_PREV_AMT_PAYMENT_MEAN_MEAN,193.6
BURO_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_ENDDATE_DIFF_VAR,193.2
APPROVED_AMT_DOWN_PAYMENT_MAX,193.0
PREV_NEW_DAYS_FIRST_AND_LAST_DUE_DIFF_MEAN,192.4
BURO_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_DIFF_MIN,192.2
PREV_NEW_CREDIT_SELLERPLACE_RATE_MAX,191.2
BURO_DAYS_CREDIT_MAX,190.8
CCNEW_AMT_DRAWINGS_DIFF_W_PAYMENT_CURRENT_MEAN,189.8
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,188.8
CLOSED_AMT_CREDIT_SUM_SUM,188.6
APPROVED_DAYS_DECISION_MAX,187.4
PREV_DAYS_TERMINATION_MEAN,186.2
CLOSED_AMT_CREDIT_SUM_MEAN,183.6
BURO_DAYS_CREDIT_MEAN,183.4
ACTIVE_AMT_CREDIT_SUM_MAX,182.6
ACTIVE_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_DIFF_MIN,182.6
PREV_NEW_POS_PREV_INSTALMENT_SPEED_MAX,182.2
APPROVED_NEW_CREDIT_SELLERPLACE_RATE_MAX,180.2
ACTIVE_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_DIFF_MEAN,179.0
APPROVED_HOUR_APPR_PROCESS_START_MEAN,178.8
BURO_DAYS_CREDIT_VAR,178.4
POS_NAME_CONTRACT_STATUS_Completed_MEAN,176.4
BURO_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_DIFF_MEAN,176.2
CLOSED_DAYS_CREDIT_VAR,174.0
PREV_AMT_ANNUITY_MEAN,173.0
CCCNT_DRAWINGS_ATM_CURRENT_MEAN,171.8
BURO_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_DIFF_VAR,171.6
PREV_INSTAL_PREV_NEW_PAYMENT_PERC_MIN_MEAN,169.6
BURO_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_ENDDATE_DIFF_MIN,168.0
BURO_AMT_CREDIT_SUM_MEAN,167.2
ACTIVE_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_ENDDATE_DIFF_MEAN,167.0
