feature,importance
EXT_SOURCE_2,1280.0
EXT_SOURCE_1,1279.6
EXT_SOURCE_3,1087.0
DAYS_BIRTH,792.2
AMT_ANNUITY,740.8
NEW_CREDIT_TO_GOODS_RATIO,689.6
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MAX_MEAN,521.6
DAYS_EMPLOYED,478.4
DAYS_ID_PUBLISH,405.4
AMT_GOODS_PRICE,395.4
PREV_DAYS_TERMINATION_MAX,385.4
PREV_NEW_POS_PREV_INSTALMENT_SPEED_MEAN,366.0
AMT_CREDIT,363.0
ACTIVE_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MAX,339.2
BURO_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MAX,336.4
ACTIVE_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MEAN,317.8
PREV_NEW_POS_PREV_INSTALMENT_SPEED_MIN,316.4
DAYS_REGISTRATION,312.0
REGION_POPULATION_RELATIVE,311.8
CODE_GENDER_M,306.2
PREV_NEW_CREDIT_TO_GOODS_RATIO_MEAN,298.0
DAYS_LAST_PHONE_CHANGE,293.6
OWN_CAR_AGE,289.6
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,272.4
PREV_CNT_PAYMENT_MEAN,271.6
PREV_INSTAL_PREV_DAYS_ENTRY_PAYMENT_MAX_MAX,265.8
CLOSED_DAYS_CREDIT_UPDATE_MAX,254.6
NEW_AGE_DAYS_REGISTRATION,253.0
ACTIVE_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_ENDDATE_DIFF_MAX,250.2
PREV_INSTAL_PREV_AMT_PAYMENT_MEAN_MAX,247.4
BURO_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MEAN,234.8
PREV_NEW_DAYS_LAST_DUE_DIFF_MEAN,228.6
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MEAN_MEAN,222.0
PREV_NEW_CREDIT_TO_GOODS_RATIO_MAX,219.8
ACTIVE_AMT_CREDIT_SUM_SUM,209.2
PREV_DAYS_DECISION_MEAN,208.2
POS_MONTHS_BALANCE_MEAN,205.8
ACTIVE_DAYS_CREDIT_MAX,205.2
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MIN_MIN,204.0
CLOSED_DAYS_CREDIT_MAX,200.8
APPROVED_AMT_ANNUITY_MEAN,196.0
PREV_POS_PREV_MONTHS_BALANCE_SIZE_MEAN,192.8
ACTIVE_AMT_CREDIT_SUM_MIN,191.2
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MAX_MAX,187.8
ACTIVE_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MIN,184.0
BURO_AMT_CREDIT_SUM_MIN,182.8
PREV_POS_PREV_MONTHS_BALANCE_SIZE_MAX,180.6
CCNEW_AMT_DRAWINGS_DIFF_W_PAYMENT_CURRENT_MEAN,177.4
BURO_AMT_CREDIT_MAX_OVERDUE_MAX,177.2
APPROVED_AMT_DOWN_PAYMENT_MAX,177.0
PREV_DAYS_DECISION_MAX,177.0
AMT_INCOME_TOTAL,175.8
BURO_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_ENDDATE_DIFF_VAR,174.4
CLOSED_AMT_CREDIT_SUM_SUM,174.2
PREV_INSTAL_PREV_AMT_PAYMENT_MEAN_MEAN,174.0
POS_NAME_CONTRACT_STATUS_Active_MEAN,174.0
BURO_DAYS_CREDIT_MEAN,173.6
PREV_NAME_YIELD_GROUP_high_MEAN,173.4
PREV_NEW_DAYS_FIRST_AND_LAST_DUE_DIFF_MEAN,172.6
PREV_HOUR_APPR_PROCESS_START_MEAN,171.0
PREV_INSTAL_PREV_DAYS_INSTALMENT_MAX_MAX,170.2
BURO_DAYS_CREDIT_MAX,167.8
CLOSED_AMT_CREDIT_SUM_MEAN,165.2
CCCNT_DRAWINGS_ATM_CURRENT_MEAN,164.8
PREV_AMT_ANNUITY_MEAN,163.8
APPROVED_DAYS_DECISION_MAX,163.2
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,161.8
PREV_DAYS_TERMINATION_MEAN,161.4
BURO_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_DIFF_MIN,160.8
ACTIVE_AMT_CREDIT_SUM_MAX,159.6
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,157.0
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MIN_MAX,156.4
PREV_NEW_CREDIT_SELLERPLACE_RATE_MAX,155.8
ACTIVE_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_DIFF_MIN,154.6
BURO_DAYS_CREDIT_VAR,154.0
NEW_INC_PER_CHLD,153.6
ACTIVE_AMT_CREDIT_SUM_MEAN,152.4
BURO_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_ENDDATE_DIFF_MIN,150.2
