feature,importance
PREV_CNT_PAYMENT_MEAN,869.2
PREV_DAYS_DECISION_MEAN,629.8
PREV_APP_CREDIT_PERC_MEAN,604.4
APPROVED_AMT_ANNUITY_MEAN,579.2
APPROVED_DAYS_DECISION_MAX,542.0
APPROVED_DAYS_DECISION_MEAN,463.2
PREV_NAME_YIELD_GROUP_high_MEAN,427.8
PREV_HOUR_APPR_PROCESS_START_MEAN,421.4
PREV_PRODUCT_COMBINATION_Cash X-Sell: low_MEAN,364.0
APPROVED_HOUR_APPR_PROCESS_START_MEAN,352.8
PREV_DAYS_DECISION_MAX,339.2
PREV_AMT_ANNUITY_MEAN,319.4
APPROVED_APP_CREDIT_PERC_MEAN,310.6
PREV_NAME_CLIENT_TYPE_New_MEAN,302.2
PREV_NAME_YIELD_GROUP_low_action_MEAN,301.8
APPROVED_AMT_ANNUITY_MAX,291.2
APPROVED_CNT_PAYMENT_MEAN,275.6
APPROVED_AMT_CREDIT_MAX,260.4
APPROVED_CNT_PAYMENT_SUM,259.2
PREV_NAME_YIELD_GROUP_low_normal_MEAN,240.2
APPROVED_AMT_DOWN_PAYMENT_MAX,239.4
PREV_NAME_SELLER_INDUSTRY_Connectivity_MEAN,225.2
APPROVED_APP_CREDIT_PERC_MAX,219.6
PREV_CNT_PAYMENT_SUM,219.2
PREV_PRODUCT_COMBINATION_Cash X-Sell: high_MEAN,203.2
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,203.0
PREV_AMT_ANNUITY_MAX,201.6
PREV_AMT_DOWN_PAYMENT_MEAN,199.6
PREV_RATE_DOWN_PAYMENT_MEAN,197.6
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,194.2
PREV_CHANNEL_TYPE_Credit and cash offices_MEAN,191.6
PREV_AMT_DOWN_PAYMENT_MAX,182.2
PREV_PRODUCT_COMBINATION_Cash X-Sell: middle_MEAN,179.6
PREV_NAME_YIELD_GROUP_middle_MEAN,174.6
PREV_AMT_CREDIT_MAX,173.8
PREV_AMT_APPLICATION_MEAN,171.6
PREV_NAME_YIELD_GROUP_XNA_MEAN,171.4
PREV_AMT_CREDIT_MEAN,170.6
APPROVED_HOUR_APPR_PROCESS_START_MAX,165.6
PREV_REFUSED_RATIO,164.6
APPROVED_RATE_DOWN_PAYMENT_MEAN,160.2
PREV_APP_CREDIT_PERC_MAX,158.6
APPROVED_AMT_DOWN_PAYMENT_MEAN,155.2
APPROVED_AMT_CREDIT_MEAN,155.2
PREV_NAME_CONTRACT_STATUS_Approved_MEAN,153.4
APPROVED_AMT_APPLICATION_MAX,153.0
PREV_NAME_PORTFOLIO_Cards_MEAN,149.2
PREV_NAME_CLIENT_TYPE_Repeater_MEAN,147.6
PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_MEAN,143.8
PREV_NAME_PAYMENT_TYPE_Cash through the bank_MEAN,143.2
PREV_NAME_PORTFOLIO_Cash_MEAN,143.0
APPROVED_AMT_APPLICATION_MEAN,141.2
PREV_CODE_REJECT_REASON_XAP_MEAN,140.8
PREV_CHANNEL_TYPE_Stone_MEAN,136.4
PREV_WEEKDAY_APPR_PROCESS_START_SATURDAY_MEAN,135.4
PREV_NAME_CONTRACT_TYPE_Revolving loans_MEAN,129.4
PREV_CHANNEL_TYPE_AP+ (Cash loan)_MEAN,128.6
PREV_WEEKDAY_APPR_PROCESS_START_MONDAY_MEAN,128.2
PREV_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_MEAN,127.8
PREV_WEEKDAY_APPR_PROCESS_START_FRIDAY_MEAN,127.6
PREV_AMT_GOODS_PRICE_MEAN,127.6
PREV_CHANNEL_TYPE_Country-wide_MEAN,127.6
PREV_HOUR_APPR_PROCESS_START_MAX,127.4
PREV_PRODUCT_COMBINATION_POS industry with interest_MEAN,125.8
PREV_NAME_TYPE_SUITE_Family_MEAN,125.8
PREV_NAME_PRODUCT_TYPE_x-sell_MEAN,125.6
PREV_PRODUCT_COMBINATION_Cash Street: low_MEAN,122.8
PREV_NAME_CLIENT_TYPE_Refreshed_MEAN,122.2
PREV_NAME_PAYMENT_TYPE_XNA_MEAN,121.6
PREV_RATE_DOWN_PAYMENT_MAX,120.2
APPROVED_RATE_DOWN_PAYMENT_MAX,119.6
PREV_AMT_APPLICATION_MAX,118.8
APPROVED_AMT_GOODS_PRICE_MEAN,116.4
PREV_CHANNEL_TYPE_Contact center_MEAN,114.2
PREV_NAME_PRODUCT_TYPE_walk-in_MEAN,114.2
PREV_NAME_SELLER_INDUSTRY_Consumer electronics_MEAN,111.6
PREV_NAME_GOODS_CATEGORY_Mobile_MEAN,111.6
PREV_WEEKDAY_APPR_PROCESS_START_SUNDAY_MEAN,110.0
PREV_NAME_TYPE_SUITE_Children_MEAN,109.6
PREV_CODE_REJECT_REASON_HC_MEAN,108.6
PREV_NAME_CASH_LOAN_PURPOSE_XNA_MEAN,103.6
PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_MEAN,100.0
"PREV_NAME_TYPE_SUITE_Spouse, partner_MEAN",95.2
PREV_NAME_GOODS_CATEGORY_Consumer Electronics_MEAN,93.2
PREV_CODE_REJECT_REASON_SCOFR_MEAN,92.6
PREV_NAME_CONTRACT_TYPE_Cash loans_MEAN,92.6
PREV_NAME_GOODS_CATEGORY_Audio/Video_MEAN,89.8
PREV_PRODUCT_COMBINATION_POS household with interest_MEAN,84.8
PREV_REFUSED_CNT,82.4
PREV_PRODUCT_COMBINATION_Card Street_MEAN,82.4
PREV_NAME_CONTRACT_STATUS_Canceled_MEAN,80.0
APPROVED_AMT_GOODS_PRICE_MAX,77.0
PREV_CHANNEL_TYPE_Channel of corporate sales_MEAN,75.4
PREV_NAME_GOODS_CATEGORY_Furniture_MEAN,72.8
PREV_NAME_GOODS_CATEGORY_Computers_MEAN,72.4
PREV_PRODUCT_COMBINATION_POS mobile with interest_MEAN,70.6
PREV_PRODUCT_COMBINATION_Cash Street: middle_MEAN,69.0
PREV_NAME_PRODUCT_TYPE_XNA_MEAN,68.6
PREV_NAME_PORTFOLIO_XNA_MEAN,68.2
PREV_PRODUCT_COMBINATION_Cash_MEAN,66.8
PREV_NAME_SELLER_INDUSTRY_XNA_MEAN,65.2
PREV_PRODUCT_COMBINATION_Cash Street: high_MEAN,61.6
PREV_PRODUCT_COMBINATION_Card X-Sell_MEAN,60.2
PREV_NAME_TYPE_SUITE_Other_B_MEAN,58.4
PREV_CHANNEL_TYPE_Regional / Local_MEAN,57.2
PREV_NAME_PORTFOLIO_POS_MEAN,56.2
PREV_PRODUCT_COMBINATION_POS industry without interest_MEAN,48.2
PREV_NAME_TYPE_SUITE_Other_A_MEAN,46.4
PREV_CODE_REJECT_REASON_LIMIT_MEAN,46.2
PREV_AMT_GOODS_PRICE_MAX,43.8
PREV_NAME_SELLER_INDUSTRY_Furniture_MEAN,41.6
PREV_NAME_GOODS_CATEGORY_Photo / Cinema Equipment_MEAN,41.2
PREV_CNT,38.6
PREV_NAME_CASH_LOAN_PURPOSE_Repairs_MEAN,38.2
PREV_NAME_GOODS_CATEGORY_XNA_MEAN,38.0
PREV_NAME_GOODS_CATEGORY_Clothing and Accessories_MEAN,36.2
PREV_PRODUCT_COMBINATION_POS household without interest_MEAN,34.2
PREV_NAME_GOODS_CATEGORY_Medical Supplies_MEAN,33.6
PREV_NAME_SELLER_INDUSTRY_Auto technology_MEAN,31.8
PREV_NAME_CASH_LOAN_PURPOSE_Car repairs_MEAN,31.0
PREV_NAME_CONTRACT_TYPE_Consumer loans_MEAN,30.0
PREV_CODE_REJECT_REASON_SCO_MEAN,27.4
PREV_NAME_GOODS_CATEGORY_Vehicles_MEAN,25.4
PREV_NAME_SELLER_INDUSTRY_Construction_MEAN,25.0
PREV_SEQ_NAME_CONTRACT_STATUS_FIRST_Refused,21.4
PREV_FLAG_LAST_APPL_PER_CONTRACT_N_MEAN,19.8
PREV_NAME_SELLER_INDUSTRY_Clothing_MEAN,19.0
PREV_NAME_CASH_LOAN_PURPOSE_Other_MEAN,19.0
PREV_PRODUCT_COMBINATION_POS other with interest_MEAN,18.2
PREV_NAME_CONTRACT_STATUS_Unused offer_MEAN,17.8
PREV_NAME_CASH_LOAN_PURPOSE_XAP_MEAN,15.8
PREV_NAME_GOODS_CATEGORY_Construction Materials_MEAN,14.6
PREV_NAME_CASH_LOAN_PURPOSE_Urgent needs_MEAN,13.6
PREV_NAME_CASH_LOAN_PURPOSE_Buying a used car_MEAN,12.0
PREV_CODE_REJECT_REASON_VERIF_MEAN,11.2
PREV_NAME_PAYMENT_TYPE_Non-cash from your account_MEAN,10.2
PREV_NAME_SELLER_INDUSTRY_Industry_MEAN,9.8
