feature,importance
EXT_SOURCE_2,1349.2
EXT_SOURCE_1,1253.6
EXT_SOURCE_3,1134.4
NEW_CREDIT_TO_ANNUITY_RATIO,981.4
DAYS_BIRTH,804.8
NEW_CREDIT_TO_GOODS_RATIO,725.0
AMT_ANNUITY,717.0
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MAX_MEAN,513.2
DAYS_EMPLOYED,472.8
DAYS_ID_PUBLISH,448.8
PREV_DAYS_TERMINATION_MAX,404.2
PREV_NEW_POS_PREV_INSTALMENT_SPEED_MEAN,380.2
ACTIVE_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MAX,353.2
DAYS_REGISTRATION,351.8
BURO_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MAX,330.8
ACTIVE_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MEAN,330.4
REGION_POPULATION_RELATIVE,330.4
PREV_NEW_POS_PREV_INSTALMENT_SPEED_MIN,326.4
AMT_GOODS_PRICE,320.6
DAYS_LAST_PHONE_CHANGE,316.0
AMT_CREDIT,314.0
OWN_CAR_AGE,301.8
CODE_GENDER_M,301.8
NEW_AGE_DAYS_REGISTRATION,298.4
ACTIVE_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_ENDDATE_DIFF_MAX,291.8
PREV_NEW_CREDIT_TO_GOODS_RATIO_MEAN,285.2
PREV_CNT_PAYMENT_MEAN,284.6
PREV_INSTAL_PREV_DAYS_ENTRY_PAYMENT_MAX_MAX,277.0
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MEAN_MEAN,265.4
CLOSED_DAYS_CREDIT_UPDATE_MAX,265.2
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,265.0
PREV_INSTAL_PREV_AMT_PAYMENT_MEAN_MAX,261.6
BURO_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MEAN,254.8
PREV_NEW_CREDIT_TO_GOODS_RATIO_MAX,253.0
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MIN_MIN,233.2
PREV_NEW_DAYS_LAST_DUE_DIFF_MEAN,232.2
ACTIVE_DAYS_CREDIT_MAX,228.2
CLOSED_DAYS_CREDIT_MAX,227.6
ACTIVE_AMT_CREDIT_SUM_SUM,223.6
BURO_AMT_CREDIT_SUM_MIN,223.0
POS_MONTHS_BALANCE_MEAN,219.0
APPROVED_AMT_ANNUITY_MEAN,218.8
PREV_POS_PREV_MONTHS_BALANCE_SIZE_MEAN,217.4
PREV_DAYS_DECISION_MEAN,215.6
ACTIVE_AMT_CREDIT_SUM_MIN,209.4
PREV_NEW_CREDIT_SELLERPLACE_RATE_MAX,203.6
AMT_INCOME_TOTAL,201.4
APPROVED_AMT_DOWN_PAYMENT_MAX,201.0
BURO_AMT_CREDIT_MAX_OVERDUE_MAX,199.4
BURO_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_ENDDATE_DIFF_VAR,197.2
PREV_POS_PREV_MONTHS_BALANCE_SIZE_MAX,196.2
PREV_HOUR_APPR_PROCESS_START_MEAN,195.4
PREV_DAYS_DECISION_MAX,195.2
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MAX_MAX,193.6
BURO_DAYS_CREDIT_MAX,190.0
CLOSED_AMT_CREDIT_SUM_SUM,189.8
PREV_NEW_DAYS_FIRST_AND_LAST_DUE_DIFF_MEAN,187.2
