feature,importance_MEAN,importance_VAR
EXT_SOURCE_3,809.8,832.700000000001
EXT_SOURCE_2,801.4,778.2999999999997
NEW_CREDIT_TO_ANNUITY_RATIO,770.6,1499.3000000000009
EXT_SOURCE_1,770.2,2174.7000000000007
DAYS_BIRTH,561.0,5681.500000000002
AMT_ANNUITY,451.2,2765.7000000000007
NEW_CREDIT_TO_GOODS_RATIO,356.6,571.3000000000004
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MAX_MEAN,307.6,85.3
DAYS_EMPLOYED,274.4,638.2999999999998
DAYS_ID_PUBLISH,273.8,429.20000000000016
PREV_DAYS_TERMINATION_MAX,264.8,1364.2
REGION_POPULATION_RELATIVE,242.8,632.7
DAYS_REGISTRATION,241.6,1775.3000000000002
PREV_NEW_POS_PREV_INSTALMENT_SPEED_MIN,228.4,413.3
AMT_GOODS_PRICE,227.8,403.70000000000016
BURO_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MAX,223.0,211.5
PREV_INSTAL_PREV_DAYS_ENTRY_PAYMENT_MAX_MAX,216.2,581.1999999999999
PREV_CNT_PAYMENT_MEAN,211.0,389.0
AMT_CREDIT,204.8,225.1999999999999
ACTIVE_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_ENDDATE_DIFF_MAX,202.2,729.6999999999998
ACTIVE_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MAX,199.2,451.69999999999993
OWN_CAR_AGE,188.4,261.80000000000007
CODE_GENDER_M,185.2,85.70000000000005
CLOSED_DAYS_CREDIT_UPDATE_MAX,180.6,578.3
PREV_NEW_POS_PREV_INSTALMENT_SPEED_MEAN,177.6,108.79999999999994
ACTIVE_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MEAN,177.4,100.29999999999995
ACTIVE_AMT_CREDIT_SUM_SUM,176.8,699.6999999999999
DAYS_LAST_PHONE_CHANGE,175.8,1109.7000000000003
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MIN_MIN,159.4,889.2999999999998
NEW_AGE_DAYS_REGISTRATION,155.8,93.20000000000003
CLOSED_DAYS_CREDIT_MAX,153.0,727.0
ACTIVE_DAYS_CREDIT_MAX,152.2,51.70000000000002
CCNEW_AMT_DRAWINGS_DIFF_W_PAYMENT_CURRENT_MEAN,151.6,253.30000000000004
PREV_NEW_CREDIT_TO_GOODS_RATIO_MEAN,151.4,206.29999999999995
POS_MONTHS_BALANCE_MEAN,151.4,986.3000000000002
PREV_POS_PREV_MONTHS_BALANCE_SIZE_MAX,146.2,189.70000000000013
PREV_NEW_DAYS_LAST_DUE_DIFF_MEAN,145.4,264.29999999999995
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,143.8,477.7000000000002
BURO_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MEAN,143.4,800.3000000000003
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MEAN_MEAN,139.8,156.20000000000007
ACTIVE_AMT_CREDIT_SUM_MIN,139.8,267.20000000000005
AMT_INCOME_TOTAL,139.8,1202.7
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MAX_MAX,138.4,935.3000000000001
ACTIVE_AMT_CREDIT_SUM_MAX,138.2,270.69999999999993
PREV_INSTAL_PREV_AMT_PAYMENT_MEAN_MAX,136.6,78.80000000000003
PREV_AMT_ANNUITY_MEAN,134.6,909.3000000000002
BURO_AMT_CREDIT_SUM_MIN,132.8,149.20000000000007
PREV_NEW_CREDIT_TO_GOODS_RATIO_MAX,130.6,241.29999999999995
PREV_POS_PREV_MONTHS_BALANCE_SIZE_MEAN,129.4,1215.2999999999997
BURO_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_ENDDATE_DIFF_VAR,129.2,376.70000000000005
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,129.2,447.70000000000005
BURO_AMT_CREDIT_MAX_OVERDUE_MAX,129.0,847.0
APPROVED_AMT_ANNUITY_MEAN,125.8,70.20000000000002
CLOSED_AMT_CREDIT_SUM_MEAN,125.0,967.5000000000001
ACTIVE_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MIN,121.6,543.3
PREV_INSTAL_PREV_DAYS_INSTALMENT_MAX_MAX,120.2,313.20000000000005
PREV_NEW_DAYS_FIRST_AND_LAST_DUE_DIFF_MEAN,119.8,680.7
POS_NAME_CONTRACT_STATUS_Active_MEAN,119.0,166.00000000000006
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,116.6,310.3
PREV_DAYS_DECISION_MAX,116.6,97.80000000000003
PREV_DAYS_DECISION_MEAN,116.4,147.79999999999998
ACTIVE_AMT_CREDIT_SUM_MEAN,114.8,507.7
BURO_DAYS_CREDIT_MEAN,113.0,225.49999999999997
BURO_AMT_CREDIT_SUM_MEAN,112.0,170.5
BURO_AMT_CREDIT_SUM_SUM,111.8,235.69999999999993
ACTIVE_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_ENDDATE_DIFF_MIN,111.8,584.6999999999999
BURO_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_DIFF_MIN,111.0,591.5
PREV_NEW_CREDIT_SELLERPLACE_RATE_MAX,110.4,1399.8000000000002
APPROVED_DAYS_DECISION_MAX,110.4,1298.2999999999997
PREV_NAME_YIELD_GROUP_high_MEAN,110.4,220.29999999999998
NEW_INC_PER_CHLD,110.4,97.30000000000001
CLOSED_AMT_CREDIT_SUM_SUM,108.6,236.8
PREV_DAYS_TERMINATION_MEAN,108.4,134.3
ACTIVE_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_DIFF_MIN,108.2,229.70000000000002
NAME_FAMILY_STATUS_Married,107.8,30.199999999999992
BURO_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_ENDDATE_DIFF_MIN,107.4,19.29999999999999
PREV_NEW_POS_PREV_INSTALMENT_SPEED_MAX,107.2,438.70000000000005
ACTIVE_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_DIFF_MEAN,105.8,54.19999999999999
BURO_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_DIFF_MEAN,105.6,640.3
CCCNT_DRAWINGS_ATM_CURRENT_MEAN,105.2,158.70000000000007
BURO_AMT_CREDIT_SUM_MAX,105.0,507.5
PREV_HOUR_APPR_PROCESS_START_MEAN,104.4,747.8000000000001
APPROVED_AMT_DOWN_PAYMENT_MAX,102.6,424.8
APPROVED_NEW_CREDIT_SELLERPLACE_RATE_MIN,102.0,279.0
BURO_DAYS_CREDIT_MAX,101.6,218.80000000000004
PREV_INSTAL_PREV_AMT_PAYMENT_MEAN_MEAN,100.4,1463.8
CLOSED_DAYS_CREDIT_VAR,100.2,453.20000000000016
APPROVED_NEW_CREDIT_SELLERPLACE_RATE_MAX,99.0,185.0
PREV_NEW_DAYS_LAST_DUE_DIFF_MIN,99.0,74.50000000000003
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MIN_MAX,98.8,467.2000000000001
PREV_INSTAL_PREV_NEW_PAYMENT_DIFF_MEAN_MEAN,98.6,81.29999999999998
BURO_NEW_BURO_DAYS_CREDIT_DAYS_ENDDATE_FACT_DIFF_MAX,98.0,198.0
CLOSED_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_ENDDATE_DIFF_VAR,97.8,217.20000000000005
PREV_NEW_CREDIT_TO_ANNUITY_RATIO_MAX,97.2,118.69999999999999
PREV_DAYS_DECISION_MIN,96.4,550.3000000000001
APPROVED_DAYS_DECISION_MEAN,96.0,261.5
