feature,importance
PREV_CNT_PAYMENT_MEAN,637.2
PREV_DAYS_TERMINATION_MAX,564.8
APPROVED_AMT_ANNUITY_MEAN,488.8
PREV_NEW_CREDIT_TO_GOODS_RATIO_MAX,480.4
PREV_NAME_YIELD_GROUP_high_MEAN,440.0
APPROVED_DAYS_DECISION_MAX,434.2
PREV_HOUR_APPR_PROCESS_START_MEAN,422.8
PREV_DAYS_DECISION_MEAN,404.6
PREV_PRODUCT_COMBINATION_Cash X-Sell: low_MEAN,344.4
PREV_DAYS_DECISION_MAX,341.8
PREV_NEW_CREDIT_TO_GOODS_RATIO_MEAN,332.6
PREV_DAYS_TERMINATION_MIN,328.6
PREV_NAME_CLIENT_TYPE_New_MEAN,323.2
APPROVED_HOUR_APPR_PROCESS_START_MEAN,321.8
PREV_DAYS_TERMINATION_MEAN,290.2
PREV_AMT_ANNUITY_MEAN,282.4
APPROVED_AMT_ANNUITY_MAX,268.8
PREV_DAYS_DECISION_MIN,268.4
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,266.0
PREV_NAME_YIELD_GROUP_low_action_MEAN,256.6
APPROVED_NEW_CREDIT_TO_GOODS_RATIO_MAX,252.8
PREV_NEW_CREDIT_TO_ANNUITY_RATIO_MAX,248.6
APPROVED_DAYS_DECISION_MEAN,246.8
PREV_NEW_CREDIT_TO_ANNUITY_RATIO_MEAN,244.4
APPROVED_NEW_CREDIT_TO_ANNUITY_RATIO_MEAN,236.6
APPROVED_AMT_DOWN_PAYMENT_MAX,213.0
APPROVED_AMT_CREDIT_MAX,210.0
PREV_NAME_YIELD_GROUP_low_normal_MEAN,209.4
APPROVED_NEW_CREDIT_TO_ANNUITY_RATIO_MAX,209.0
PREV_NAME_SELLER_INDUSTRY_Connectivity_MEAN,207.2
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,200.2
PREV_NEW_APP_CREDIT_PERC_MEAN,196.6
APPROVED_DAYS_DECISION_MIN,192.6
PREV_AMT_DOWN_PAYMENT_MEAN,189.4
APPROVED_SELLERPLACE_AREA_MAX,186.0
APPROVED_CNT_PAYMENT_MEAN,185.6
PREV_AMT_ANNUITY_MAX,180.0
APPROVED_NEW_CREDIT_TO_GOODS_RATIO_MEAN,179.6
PREV_PRODUCT_COMBINATION_Cash X-Sell: middle_MEAN,176.0
PREV_SELLERPLACE_AREA_MEAN,172.8
PREV_RATE_DOWN_PAYMENT_MEAN,171.6
PREV_CHANNEL_TYPE_Credit and cash offices_MEAN,171.0
PREV_NAME_YIELD_GROUP_XNA_MEAN,165.0
PREV_AMT_DOWN_PAYMENT_MAX,163.2
APPROVED_NEW_APP_CREDIT_PERC_MEAN,162.8
APPROVED_SELLERPLACE_AREA_MEAN,160.4
PREV_PRODUCT_COMBINATION_Cash X-Sell: high_MEAN,160.4
PREV_AMT_APPLICATION_MEAN,150.6
APPROVED_HOUR_APPR_PROCESS_START_MAX,148.8
PREV_NAME_YIELD_GROUP_middle_MEAN,148.0
APPROVED_AMT_APPLICATION_MAX,147.6
PREV_AMT_CREDIT_MEAN,144.4
PREV_CODE_REJECT_REASON_XAP_MEAN,144.4
APPROVED_NEW_APP_CREDIT_PERC_MAX,143.6
PREV_NAME_PORTFOLIO_Cards_MEAN,142.8
APPROVED_AMT_CREDIT_MEAN,140.0
PREV_NAME_PAYMENT_TYPE_Cash through the bank_MEAN,138.0
PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_MEAN,137.6
APPROVED_AMT_DOWN_PAYMENT_MEAN,136.4
APPROVED_RATE_DOWN_PAYMENT_MEAN,134.0
PREV_AMT_CREDIT_MAX,133.4
PREV_CHANNEL_TYPE_AP+ (Cash loan)_MEAN,130.2
APPROVED_SELLERPLACE_AREA_MIN,130.0
PREV_SELLERPLACE_AREA_MAX,129.6
PREV_NEW_APP_CREDIT_PERC_MAX,127.2
PREV_WEEKDAY_APPR_PROCESS_START_MONDAY_MEAN,123.4
PREV_WEEKDAY_APPR_PROCESS_START_SATURDAY_MEAN,122.8
APPROVED_AMT_APPLICATION_MEAN,121.0
PREV_HOUR_APPR_PROCESS_START_MAX,120.0
PREV_NAME_CLIENT_TYPE_Repeater_MEAN,119.6
PREV_AMT_GOODS_PRICE_MEAN,118.2
PREV_NAME_PORTFOLIO_Cash_MEAN,117.4
PREV_CODE_REJECT_REASON_HC_MEAN,117.0
PREV_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_MEAN,114.8
PREV_CHANNEL_TYPE_Stone_MEAN,114.0
PREV_CHANNEL_TYPE_Contact center_MEAN,113.6
PREV_NAME_PAYMENT_TYPE_XNA_MEAN,110.2
PREV_NAME_TYPE_SUITE_Family_MEAN,108.4
PREV_RATE_DOWN_PAYMENT_MAX,108.2
PREV_PRODUCT_COMBINATION_Cash Street: low_MEAN,106.8
PREV_WEEKDAY_APPR_PROCESS_START_FRIDAY_MEAN,106.6
PREV_NAME_PRODUCT_TYPE_x-sell_MEAN,105.6
PREV_PRODUCT_COMBINATION_POS industry with interest_MEAN,105.6
PREV_WEEKDAY_APPR_PROCESS_START_SUNDAY_MEAN,104.0
PREV_CHANNEL_TYPE_Country-wide_MEAN,103.8
APPROVED_AMT_GOODS_PRICE_MEAN,103.2
APPROVED_RATE_DOWN_PAYMENT_MAX,102.8
PREV_NAME_CONTRACT_TYPE_Revolving loans_MEAN,101.2
PREV_NEW_REFUSED_CNT,101.2
PREV_NAME_TYPE_SUITE_Children_MEAN,99.8
PREV_AMT_APPLICATION_MAX,99.4
PREV_NAME_SELLER_INDUSTRY_Consumer electronics_MEAN,99.4
PREV_NAME_CLIENT_TYPE_Refreshed_MEAN,99.0
PREV_NAME_PRODUCT_TYPE_walk-in_MEAN,97.6
APPROVED_AMT_GOODS_PRICE_MAX,97.4
PREV_CODE_REJECT_REASON_SCOFR_MEAN,95.0
PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_MEAN,94.0
PREV_NFLAG_INSURED_ON_APPROVAL_MEAN,93.6
PREV_NAME_CONTRACT_STATUS_Approved_MEAN,93.0
PREV_NAME_CASH_LOAN_PURPOSE_XNA_MEAN,89.8
PREV_NAME_GOODS_CATEGORY_Audio/Video_MEAN,83.2
PREV_NAME_GOODS_CATEGORY_Mobile_MEAN,82.8
"PREV_NAME_TYPE_SUITE_Spouse, partner_MEAN",81.2
PREV_NAME_CONTRACT_STATUS_Canceled_MEAN,79.0
PREV_NEW_APPROVED_RATIO,77.4
PREV_PRODUCT_COMBINATION_POS household with interest_MEAN,76.6
PREV_NEW_APPROVED_CNT,76.4
PREV_NAME_GOODS_CATEGORY_Consumer Electronics_MEAN,74.6
PREV_NAME_GOODS_CATEGORY_Furniture_MEAN,71.8
PREV_NAME_PRODUCT_TYPE_XNA_MEAN,70.8
PREV_SELLERPLACE_AREA_MIN,70.2
PREV_NAME_CONTRACT_TYPE_Cash loans_MEAN,68.6
PREV_CHANNEL_TYPE_Channel of corporate sales_MEAN,68.0
PREV_PRODUCT_COMBINATION_Card Street_MEAN,67.6
PREV_PRODUCT_COMBINATION_Cash Street: middle_MEAN,65.4
PREV_PRODUCT_COMBINATION_Cash_MEAN,61.2
PREV_NAME_GOODS_CATEGORY_Computers_MEAN,59.8
PREV_PRODUCT_COMBINATION_Card X-Sell_MEAN,58.4
PREV_NAME_TYPE_SUITE_Other_B_MEAN,58.2
PREV_NAME_PORTFOLIO_XNA_MEAN,57.8
PREV_PRODUCT_COMBINATION_POS mobile with interest_MEAN,57.6
PREV_NAME_SELLER_INDUSTRY_XNA_MEAN,56.4
PREV_NEW_CNT,49.4
PREV_NAME_TYPE_SUITE_Other_A_MEAN,47.8
PREV_CHANNEL_TYPE_Regional / Local_MEAN,46.0
PREV_PRODUCT_COMBINATION_POS industry without interest_MEAN,45.2
PREV_PRODUCT_COMBINATION_Cash Street: high_MEAN,44.4
PREV_AMT_GOODS_PRICE_MAX,42.6
PREV_NAME_GOODS_CATEGORY_Photo / Cinema Equipment_MEAN,42.4
PREV_CODE_REJECT_REASON_LIMIT_MEAN,40.8
PREV_NAME_PORTFOLIO_POS_MEAN,40.4
PREV_NAME_GOODS_CATEGORY_Clothing and Accessories_MEAN,36.8
PREV_NAME_GOODS_CATEGORY_XNA_MEAN,36.6
PREV_NAME_SELLER_INDUSTRY_Auto technology_MEAN,33.0
PREV_NAME_SELLER_INDUSTRY_Furniture_MEAN,31.2
PREV_NAME_GOODS_CATEGORY_Medical Supplies_MEAN,29.6
PREV_NAME_CASH_LOAN_PURPOSE_Repairs_MEAN,29.0
PREV_NAME_CASH_LOAN_PURPOSE_Car repairs_MEAN,28.8
PREV_PRODUCT_COMBINATION_POS household without interest_MEAN,28.6
PREV_NAME_SELLER_INDUSTRY_Construction_MEAN,27.6
PREV_CODE_REJECT_REASON_SCO_MEAN,26.8
APPROVED_DAYS_TERMINATION_MAX,26.0
PREV_NAME_GOODS_CATEGORY_Vehicles_MEAN,24.4
PREV_NAME_CONTRACT_TYPE_Consumer loans_MEAN,23.2
PREV_NAME_CASH_LOAN_PURPOSE_Other_MEAN,17.6
PREV_NAME_SELLER_INDUSTRY_Clothing_MEAN,16.4
APPROVED_DAYS_TERMINATION_MIN,16.0
PREV_FLAG_LAST_APPL_PER_CONTRACT_N_MEAN,14.6
PREV_NAME_CONTRACT_STATUS_Unused offer_MEAN,14.0
PREV_NAME_GOODS_CATEGORY_Construction Materials_MEAN,14.0
PREV_NAME_CASH_LOAN_PURPOSE_XAP_MEAN,13.8
APPROVED_DAYS_TERMINATION_MEAN,13.4
PREV_PRODUCT_COMBINATION_POS other with interest_MEAN,11.4
PREV_NAME_CASH_LOAN_PURPOSE_Urgent needs_MEAN,10.8
PREV_NAME_SELLER_INDUSTRY_Industry_MEAN,10.6
PREV_NAME_CASH_LOAN_PURPOSE_Buying a used car_MEAN,10.2
PREV_CODE_REJECT_REASON_VERIF_MEAN,9.2
PREV_PRODUCT_COMBINATION_POS mobile without interest_MEAN,8.8
PREV_NAME_CASH_LOAN_PURPOSE_Medicine_MEAN,7.6
PREV_NAME_GOODS_CATEGORY_Sport and Leisure_MEAN,7.4
PREV_NAME_TYPE_SUITE_Group of people_MEAN,7.2
APPROVED_NFLAG_INSURED_ON_APPROVAL_MEAN,6.6
PREV_RATE_INTEREST_PRIVILEGED_MEAN,5.8
PREV_NAME_GOODS_CATEGORY_Jewelry_MEAN,5.2
PREV_RATE_INTEREST_PRIMARY_MEAN,4.8
PREV_NAME_CASH_LOAN_PURPOSE_Everyday expenses_MEAN,4.6
PREV_RATE_INTEREST_PRIMARY_MAX,4.6
PREV_NAME_GOODS_CATEGORY_Auto Accessories_MEAN,4.4
PREV_NAME_CASH_LOAN_PURPOSE_Building a house or an annex_MEAN,4.4
PREV_NAME_CASH_LOAN_PURPOSE_Payments on other loans_MEAN,4.2
PREV_FLAG_LAST_APPL_PER_CONTRACT_Y_MEAN,4.0
PREV_NAME_GOODS_CATEGORY_Gardening_MEAN,4.0
PREV_NFLAG_LAST_APPL_IN_DAY_MEAN,3.6
PREV_NAME_PAYMENT_TYPE_Non-cash from your account_MEAN,3.4
PREV_NAME_GOODS_CATEGORY_Homewares_MEAN,3.2
PREV_NAME_CLIENT_TYPE_XNA_MEAN,3.2
PREV_NEW_RATE_INTEREST_RATE_MEAN,2.6
