feature,importance
PREV_DAYS_DECISION_MEAN,586.2
PREV_CNT_PAYMENT_MEAN,539.6
PREV_DAYS_TERMINATION_MAX,518.4
PREV_NEW_DAYS_LAST_DUE_DIFF_MEAN,446.6
APPROVED_DAYS_DECISION_MAX,441.8
PREV_DAYS_TERMINATION_MEAN,433.4
PREV_NAME_YIELD_GROUP_high_MEAN,423.8
PREV_HOUR_APPR_PROCESS_START_MEAN,388.4
PREV_NEW_CREDIT_TO_GOODS_RATIO_MAX,386.2
APPROVED_AMT_ANNUITY_MEAN,381.8
PREV_NEW_CREDIT_TO_GOODS_RATIO_MEAN,346.2
PREV_PRODUCT_COMBINATION_Cash X-Sell: low_MEAN,337.8
APPROVED_DAYS_DECISION_MEAN,325.0
PREV_NAME_CLIENT_TYPE_New_MEAN,317.4
PREV_DAYS_DECISION_MAX,312.0
PREV_NEW_DAYS_LAST_DUE_DIFF_MIN,302.4
APPROVED_HOUR_APPR_PROCESS_START_MEAN,299.0
PREV_NEW_DAYS_FIRST_DUE_DIFF_MIN,287.4
APPROVED_AMT_ANNUITY_MAX,283.8
PREV_AMT_ANNUITY_MEAN,267.2
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,259.6
PREV_NEW_DAYS_FIRST_DUE_DIFF_MEAN,253.4
APPROVED_NEW_CREDIT_TO_GOODS_RATIO_MAX,251.0
APPROVED_NEW_CREDIT_SELLERPLACE_RATE_MIN,236.2
PREV_NEW_CREDIT_SELLERPLACE_RATE_MAX,225.8
PREV_NAME_YIELD_GROUP_low_action_MEAN,220.8
PREV_NEW_CREDIT_TO_ANNUITY_RATIO_MAX,210.2
APPROVED_CNT_PAYMENT_MEAN,209.0
APPROVED_SELLERPLACE_AREA_MAX,207.2
APPROVED_NEW_CREDIT_SELLERPLACE_RATE_MAX,203.4
PREV_NAME_SELLER_INDUSTRY_Connectivity_MEAN,200.8
PREV_NEW_CREDIT_TO_ANNUITY_RATIO_MEAN,196.4
APPROVED_NEW_CREDIT_TO_ANNUITY_RATIO_MEAN,194.4
APPROVED_AMT_DOWN_PAYMENT_MAX,193.0
PREV_AMT_ANNUITY_MAX,190.2
PREV_NAME_YIELD_GROUP_low_normal_MEAN,187.0
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,185.6
APPROVED_NEW_CREDIT_TO_GOODS_RATIO_MEAN,179.8
PREV_NEW_CREDIT_SELLERPLACE_RATE_MIN,177.6
PREV_AMT_DOWN_PAYMENT_MEAN,176.6
APPROVED_AMT_CREDIT_MAX,173.8
PREV_RATE_DOWN_PAYMENT_MEAN,172.8
APPROVED_NEW_CREDIT_TO_ANNUITY_RATIO_MAX,171.0
APPROVED_NEW_APP_CREDIT_PERC_MEAN,170.4
PREV_CHANNEL_TYPE_Credit and cash offices_MEAN,166.2
PREV_NEW_APP_CREDIT_PERC_MEAN,166.0
PREV_AMT_DOWN_PAYMENT_MAX,162.2
PREV_PRODUCT_COMBINATION_Cash X-Sell: high_MEAN,162.0
PREV_SELLERPLACE_AREA_MAX,160.0
APPROVED_HOUR_APPR_PROCESS_START_MAX,159.8
APPROVED_NEW_APP_CREDIT_PERC_MAX,156.4
