feature,importance_MEAN,importance_STD,importance_RAT
EXT_SOURCE_2,742.6,32.074912314767126,0.04319271790299909
EXT_SOURCE_3,740.0,45.03887209955418,0.06086334067507322
EXT_SOURCE_1,691.2,31.284181306212886,0.04526067897310892
NEW_CREDIT_TO_ANNUITY_RATIO,634.0,68.1395626636978,0.10747565088911325
AMT_ANNUITY,371.8,27.544509434731264,0.07408421042154724
DAYS_BIRTH,348.0,23.801260470823813,0.06839442664029831
NEW_CREDIT_TO_GOODS_RATIO,326.4,24.172298194420822,0.07405728613486771
DAYS_ID_PUBLISH,195.8,36.362068148002805,0.18571025611850256
CODE_GENDER_M,192.2,10.733126291998987,0.05584352909468776
AMT_GOODS_PRICE,189.6,30.23739406761105,0.15947992651693593
BURO_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MAX,172.0,18.303005217723125,0.10641282103327399
PREV_INSTAL_PREV_AMT_PAYMENT_MIN_MEAN,164.6,24.90582261239327,0.15131119448598584
ACTIVE_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MAX,164.2,3.7013511046643472,0.022541724145337075
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,163.2,29.827839345148686,0.18276862343841108
AMT_CREDIT,149.8,33.611010100858316,0.22437256409117698
PREV_DAYS_TERMINATION_MAX,148.6,18.796276226955168,0.12648907285972522
PREV_POS_PREV_CNT_INSTALMENT_FUTURE_MIN_SUM,146.8,14.184498581197717,0.09662464973567926
ACTIVE_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MEAN,146.2,20.632498636859278,0.14112516167482408
ACTIVE_AMT_CREDIT_SUM_SUM,144.4,14.808781178746615,0.10255388627940869
PREV_INSTAL_PREV_DAYS_ENTRY_PAYMENT_MAX_MAX,143.2,41.105960638330785,0.2870527977537066
BURO_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_VAR,141.0,27.694764848252458,0.1964167719734217
REGION_POPULATION_RELATIVE,139.4,7.829431652425352,0.056165219888273686
NEW_AMT_INCOME_TOTAL_POPRAT,138.8,23.657979626333272,0.1704465390946201
ACTIVE_DAYS_CREDIT_MAX,135.6,25.83215051055564,0.19050258488610355
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MAX_MEAN,135.2,13.773162309360911,0.10187250228817243
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MAX_MIN,133.4,23.49042358068496,0.17609013178924257
PREV_NEW_CREDIT_TO_GOODS_RATIO_MEAN,130.4,12.401612798341997,0.09510439262532205
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,128.4,6.5038450166036395,0.05065299857167943
PREV_INSTAL_PREV_AMT_INSTALMENT_MIN_MIN,125.4,22.875751353780714,0.1824222595995272
NEW_AGE_DAYS_REGISTRATION,124.6,24.027068069159,0.1928336121120305
NEW_AMT_ANNUITY_POPRAT,124.0,12.90348790056394,0.10406038629487048
DAYS_EMPLOYED,123.0,21.400934559032695,0.17399133787831458
NEW_BURO_DAYS_CREDIT_MIN_DAYS_BIRTH_DIFF,121.6,37.75976694843335,0.31052439924698483
PREV_CNT_PAYMENT_MEAN,120.2,18.700267377767624,0.1555762677018937
DAYS_REGISTRATION,119.8,14.446452851824906,0.12058808724394747
PREV_NEW_POS_PREV_INSTALMENT_SPEED_MEAN,119.0,25.20912533191106,0.21184138934379043
CLOSED_DAYS_CREDIT_UPDATE_MAX,118.6,18.03607496103296,0.1520748310373774
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_VAR_MIN,118.4,16.592166826548002,0.14013654414314192
CCCNT_DRAWINGS_ATM_CURRENT_MEAN,117.2,23.80546155822231,0.2031182726810777
