feature,importance
EXT_SOURCE_2,1337.0
EXT_SOURCE_1,1292.8
EXT_SOURCE_3,1185.8
NEW_CREDIT_TO_ANNUITY_RATIO,1054.8
DAYS_BIRTH,858.0
AMT_ANNUITY,751.2
NEW_CREDIT_TO_GOODS_RATIO,736.6
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MAX_MEAN,554.0
DAYS_EMPLOYED,507.0
DAYS_ID_PUBLISH,473.2
PREV_DAYS_TERMINATION_MAX,421.6
PREV_NEW_POS_PREV_INSTALMENT_SPEED_MEAN,399.2
DAYS_REGISTRATION,379.2
BURO_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MAX,369.6
ACTIVE_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MAX,360.0
ACTIVE_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MEAN,337.8
DAYS_LAST_PHONE_CHANGE,332.6
PREV_NEW_POS_PREV_INSTALMENT_SPEED_MIN,332.2
REGION_POPULATION_RELATIVE,329.2
AMT_CREDIT,325.8
AMT_GOODS_PRICE,324.6
PREV_NEW_CREDIT_TO_GOODS_RATIO_MEAN,324.2
OWN_CAR_AGE,316.2
ACTIVE_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_ENDDATE_DIFF_MAX,315.4
NEW_AGE_DAYS_REGISTRATION,305.4
CODE_GENDER_M,304.6
PREV_INSTAL_PREV_DAYS_ENTRY_PAYMENT_MAX_MAX,296.6
PREV_CNT_PAYMENT_MEAN,289.8
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MEAN_MEAN,282.6
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,277.2
CLOSED_DAYS_CREDIT_UPDATE_MAX,276.8
PREV_INSTAL_PREV_AMT_PAYMENT_MEAN_MAX,269.4
BURO_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MEAN,255.2
PREV_NEW_CREDIT_TO_GOODS_RATIO_MAX,247.0
PREV_NEW_DAYS_LAST_DUE_DIFF_MEAN,239.4
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MIN_MIN,235.8
POS_MONTHS_BALANCE_MEAN,233.4
ACTIVE_AMT_CREDIT_SUM_SUM,232.6
CLOSED_DAYS_CREDIT_MAX,232.4
PREV_POS_PREV_MONTHS_BALANCE_SIZE_MEAN,230.2
APPROVED_AMT_ANNUITY_MEAN,227.8
PREV_DAYS_DECISION_MEAN,226.2
ACTIVE_DAYS_CREDIT_MAX,222.2
ACTIVE_AMT_CREDIT_SUM_MIN,221.6
PREV_DAYS_DECISION_MAX,215.2
BURO_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_ENDDATE_DIFF_VAR,212.2
PREV_INSTAL_PREV_DAYS_INSTALMENT_MAX_MAX,211.4
ACTIVE_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MIN,208.0
BURO_AMT_CREDIT_MAX_OVERDUE_MAX,207.8
BURO_AMT_CREDIT_SUM_MIN,205.4
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MAX_MAX,204.2
AMT_INCOME_TOTAL,204.2
