feature,importance_MEAN,importance_STD,importance_RAT
EXT_SOURCE_2,895.0,48.89273974732853,0.054628759494221815
EXT_SOURCE_1,859.2,65.31998162890127,0.07602418718447541
EXT_SOURCE_3,832.6,10.89954127475097,0.013090969582934145
NEW_CREDIT_TO_ANNUITY_RATIO,691.4,96.87259674438381,0.1401107849933234
AMT_ANNUITY,423.8,22.19684662288768,0.0523757589025193
NEW_CREDIT_TO_GOODS_RATIO,411.6,30.369392486515107,0.07378375239678112
DAYS_BIRTH,395.2,20.092287077383695,0.050840807382043766
DAYS_ID_PUBLISH,232.0,32.132538026119256,0.13850231907810023
BURO_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MAX,227.4,17.30028901492689,0.0760786676118157
CODE_GENDER_M,221.2,2.6832815729997472,0.012130567689872276
ACTIVE_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MAX,200.0,31.567388235329194,0.15783694117664596
AMT_GOODS_PRICE,191.4,23.596609926004202,0.12328427338560188
PREV_INSTAL_PREV_AMT_PAYMENT_MIN_MEAN,191.4,21.62868465718616,0.11300253216920668
AMT_CREDIT,189.4,20.537770083434083,0.10843595608993707
PREV_DAYS_TERMINATION_MAX,174.0,23.16246964380094,0.13311764163103987
ACTIVE_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MEAN,169.8,21.810547906918803,0.12844845646006361
PREV_NEW_CREDIT_TO_GOODS_RATIO_MEAN,168.0,21.540659228538015,0.12821820969367867
BURO_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_VAR,167.2,33.43949760388155,0.19999699523852602
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MAX_MEAN,166.6,20.144478151592807,0.12091523500355827
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,162.0,16.232683080747925,0.10020174741202423
ACTIVE_AMT_CREDIT_SUM_SUM,160.4,14.604793733565703,0.09105233000976123
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MAX_MIN,158.6,23.543576618687315,0.14844625862980654
PREV_INSTAL_PREV_DAYS_ENTRY_PAYMENT_MAX_MAX,153.8,33.23702754459249,0.2161055106930591
NEW_AMT_ANNUITY_POPRAT,149.8,21.300234740490538,0.1421911531407913
