feature,importance
BURO_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_DIFF_MAX,387.0
APPROVED_AMT_ANNUITY_MAX,386.2
PREV_NEW_CREDIT_SELLERPLACE_RATE_MEAN,382.8
PREV_NAME_YIELD_GROUP_high_MEAN,380.2
APPROVED_NEW_CREDIT_TO_GOODS_RATIO_MEAN,376.8
BURO_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_ENDDATE_DIFF_MAX,376.8
ACTIVE_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_ENDDATE_DIFF_VAR,375.4
PREV_AMT_ANNUITY_MAX,374.8
PREV_POS_PREV_MONTHS_BALANCE_MIN_MIN,374.2
BURO_AMT_CREDIT_SUM_SUM,373.0
CLOSED_MONTHS_BALANCE_MAX_MIN,370.6
PREV_NAME_YIELD_GROUP_middle_MEAN,369.0
APPROVED_NEW_CREDIT_TO_ANNUITY_RATIO_MEAN,368.8
ACTIVE_AMT_CREDIT_SUM_DEBT_MIN,368.6
ACTIVE_AMT_CREDIT_SUM_MEAN,366.6
PREV_INSTAL_PREV_AMT_PAYMENT_MEAN_MAX,366.6
BURO_AMT_CREDIT_MAX_OVERDUE_MAX,366.6
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,364.2
HOUR_APPR_PROCESS_START,364.0
ACTIVE_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_DIFF_VAR,363.2
PREV_AMT_DOWN_PAYMENT_MEAN,363.0
BURO_NEW_BURO_AMT_ANNUITY_AMT_CREDIT_SUM_RATIO_MAX,362.4
CLOSED_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_DIFF_MIN,362.2
PREV_NEW_POS_PREV_INSTALMENT_SPEED_MAX,359.2
BURO_DAYS_CREDIT_ENDDATE_MEAN,358.6
APPROVED_DAYS_DECISION_MEAN,357.4
CLOSED_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_ENDDATE_DIFF_MEAN,356.6
APPROVED_NEW_CREDIT_SELLERPLACE_RATE_MIN,355.8
ACTIVE_DAYS_CREDIT_VAR,355.4
CLOSED_AMT_CREDIT_SUM_SUM,354.8
APPROVED_SELLERPLACE_AREA_MAX,354.2
BASEMENTAREA_AVG,353.6
CLOSED_DAYS_CREDIT_ENDDATE_MEAN,353.4
APPROVED_NEW_CREDIT_SELLERPLACE_RATE_MEAN,352.2
BURO_AMT_CREDIT_SUM_MAX,347.8
BURO_DAYS_CREDIT_MEAN,346.6
APPROVED_AMT_DOWN_PAYMENT_MAX,345.8
APPROVED_RATE_DOWN_PAYMENT_MEAN,344.0
APPROVED_AMT_DOWN_PAYMENT_MEAN,343.4
ACTIVE_AMT_CREDIT_SUM_MAX,342.2
PREV_NEW_CREDIT_TO_ANNUITY_RATIO_MAX,341.4
BURO_DAYS_CREDIT_UPDATE_MEAN,340.2
CLOSED_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_ENDDATE_DIFF_VAR,338.6
PREV_AMT_APPLICATION_MEAN,333.8
ACTIVE_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_ENDDATE_DIFF_MEAN,332.0
PREV_INSTAL_PREV_AMT_INSTALMENT_MEAN_MEAN,331.8
