feature,importance_MEAN,importance_STD,importance_RAT
EXT_SOURCE_3,734.4,53.28508234018222,0.07255594000569475
EXT_SOURCE_2,723.2,49.464128416459545,0.06839619526612216
EXT_SOURCE_1,614.8,40.892542107332964,0.06651356881479012
NEW_CREDIT_TO_ANNUITY_RATIO,502.0,65.2418577295282,0.1299638600189805
AMT_ANNUITY,351.2,20.620378270051205,0.0587140611334032
DAYS_BIRTH,326.0,42.45585943070756,0.13023269764020726
NEW_CREDIT_TO_GOODS_RATIO,300.4,27.30018314956879,0.09087943791467641
DAYS_ID_PUBLISH,193.6,42.31193685001905,0.21855339282034636
DAYS_EMPLOYED,173.8,20.092287077383702,0.11560579446135616
CODE_GENDER_M,173.4,17.643695757975426,0.10175141728936231
BURO_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MAX,165.6,18.06377590649308,0.1090807723822046
ACTIVE_AMT_CREDIT_SUM_SUM,159.0,26.13426869074396,0.16436646975310665
AMT_GOODS_PRICE,153.0,25.30810146968753,0.16541242790645444
ACTIVE_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MAX,148.0,29.866369046136157,0.20179979085227134
PREV_LATEST_CC_PREV_NEW_AMT_BALANCE_CREDIT_LIMIT_ACTUAL_DIFF_MAX_SUM,145.4,26.977768625295905,0.18554173745045327
AMT_CREDIT,136.4,21.69792616818483,0.15907570504534332
ACTIVE_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MEAN,133.8,20.58397434899296,0.153841362847481
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,129.0,14.370107863199914,0.11139618498604585
ACTIVE_NEW_BURO_DAYS_CREDIT_DAYS_CREDIT_ENDDATE_DIFF_MAX,128.4,21.87007087322764,0.1703276547759162
PREV_INSTAL_PREV_AMT_PAYMENT_MIN_MEAN,123.6,31.381523226255286,0.25389581898264796
ACTIVE_DAYS_CREDIT_MAX,121.8,32.17452408350433,0.2641586542159633
PREV_INSTAL_PREV_AMT_PAYMENT_MIN_SUM,121.8,29.878085614710994,0.24530447959532836
BURO_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_VAR,116.0,31.811947441173732,0.27424092621701496
REGION_POPULATION_RELATIVE,115.0,13.095800853708797,0.11387652916268519
NEW_AMT_ANNUITY_POPRAT,114.2,13.311649033834989,0.11656435231028887
NEW_AGE_DAYS_REGISTRATION,112.8,32.95754845251691,0.29217684798330595
PREV_LATEST_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MAX_MEAN,112.8,18.926172354705006,0.16778521591050538
DAYS_REGISTRATION,110.2,27.67128475513922,0.25110058761469345
DAYS_LAST_PHONE_CHANGE,108.2,20.83746625672133,0.19258286743735056
NEW_BURO_DAYS_CREDIT_MEAN_DAYS_BIRTH_DIFF,106.8,25.420464197177832,0.23801932768893103
OWN_CAR_AGE,105.8,16.361540269791227,0.15464593827779988
BURO_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MEAN,105.0,23.62202362203543,0.2249716535431946
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MAX_MIN,104.2,24.71234509309062,0.23716262085499634
PREV_NEW_CREDIT_TO_GOODS_RATIO_MEAN,103.2,17.584083712266615,0.17038840806459898
NAME_FAMILY_STATUS_Married,102.8,7.886697661252141,0.07671884884486518
PREV_CNT_PAYMENT_MEAN,102.0,12.227019260637483,0.1198727378493871
CLOSED_AMT_CREDIT_SUM_MEAN,101.0,23.590252224170897,0.23356685370466235
PREV_DAYS_TERMINATION_MAX,100.2,20.48658097389606,0.20445689594706648
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_VAR_MIN,97.0,18.854707634964804,0.19437842922644127
PREV_LATEST_NEW_POS_PREV_INSTALMENT_SPEED_MIN,95.6,10.691117808723277,0.11183177624187529
PREV_POS_PREV_CNT_INSTALMENT_FUTURE_MEAN_VAR,95.0,18.096961070853858,0.19049432706161956
PREV_NEW_POS_PREV_INSTALMENT_SPEED_MEAN,92.8,25.58710612789184,0.27572312637814483
